@relation 'project-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R34,38,40-weka.filters.unsupervised.attribute.Remove-R9-10,13-16,24-25,32-34,37-weka.filters.unsupervised.attribute.Remove-R3'

@attribute project {true,false}
@attribute Lexical_Diversity numeric
@attribute Pausality numeric
@attribute Word_Quantity numeric
@attribute Verb_Quantity numeric
@attribute Modifier_Quantity numeric
@attribute Sentence_Quantity numeric
@attribute Affect_Ratio numeric
@attribute Sensory_Ratio numeric
@attribute Average_Sentence_Length numeric
@attribute Average_Word_Length numeric
@attribute Content_Word_Diversity numeric
@attribute Redundancy numeric
@attribute Misspelled_Words numeric
@attribute You_References numeric
@attribute Self_References numeric
@attribute Pleasantness numeric
@attribute Activation numeric
@attribute Imagery numeric
@attribute Pos_Pleasantness_1dev numeric
@attribute Pos_Activation_1dev numeric
@attribute Pos_Imagery_1dev numeric
@attribute Neg_Activation_1dev numeric
@attribute Neg_Imagery_1dev numeric

@data
true,0.5,1.333333,4,0,0,3,0,0,1.333333,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,2,0,0,2,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,6,0,0,2,0,0.333333,3,2.333333,1,2,0,0,0,2.2631,1.7111,1.133333,0.666667,0,0,0.333333,0.666667
true,0.5,0,2,0,0,1,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.428571,2.333333,28,6,2,6,0,0.071429,4.666667,4.714286,0.777778,1.666667,0.384615,0.142857,0,2.154025,1.847075,1.25,0.375,0,0,0,0.75
true,0.5,0,4,0,0,1,0,0,4,4,1,0,0.5,0,0,2.8333,3,2.2,1,1,0,0,0
true,0.5,1,2,0,0,2,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,4,4,2,0,1,0.5,0,4,4,1,2,0,1,0,2.1429,1.5,1.2,0,0,0,0,1
true,0.5,0,2,2,0,1,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,0,8,2,2,1,0,0,8,3.75,1,0,0.5,0,0,1.6667,1.6667,1,0,0,0,0,1
true,0.5,1,6,2,0,2,0.333333,0,3,4.333333,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,0.666667,18,6,0,3,0,0.222222,6,3.888889,1,3.333333,0,0,0,1.746656,1.532467,1.355556,0,0,0,0.444444,0.555556
true,0.5,1,2,2,0,2,0,0,1,4,1,0,0,0,0,2.125,1.7273,2,0,0,0,0,0
true,0.5,0,2,0,0,1,0,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,1,22,3,6,2,0,0,11,4.090909,1,3,0,0,0,1.77932,1.82996,1.68,0.1,0.2,0.2,0.3,0.4
true,0.5,0.666667,2,0,0,3,0,0,0.666667,3,?,0.666667,0,0,0,2.6,2.1111,1,1,0,0,0,1
true,0.458333,4,24,3,0,2,0,0.083333,12,3.833333,1,4,0.333333,0,0,1.94345,1.614212,1.3,0.125,0,0,0.5,0.625
true,0.5,1,2,0,0,2,0,0,1,3,1,0,?,0,0,0,0,0,0,0,0,0,0
true,0.5,1,6,0,0,2,0,0.333333,3,5,1,1,0,0,0,1.7357,1.5,2.1,0,0,0,0.5,0
true,0.5,1,10,2,4,2,0,0,5,3,1,1,0,0,0,1.828367,1.4935,1,0,0,0,0.333333,1
true,0.441176,1,34,3,3,2,0.117647,0.117647,17,3.588235,0.9,7,0.1,0,0.235294,1.620243,1.682514,1.342857,0,0.142857,0,0.142857,0.571429
true,0.5,0,14,0,0,1,0,0,14,5.285714,1,2,?,0,0,0,0,0,0,0,0,0,0
true,0.5,0,4,0,0,1,0,0.5,4,4.5,1,0,0,0,0,1.2625,1.72915,2.7,0,0,0.5,0.5,0
true,0.452381,1,42,6,0,6,0.047619,0,7,4.095238,1,3.666667,0,0.095238,0.190476,1.85235,1.564187,1.325,0.1875,0.125,0.0625,0.5,0.625
true,0.423077,4,52,11,10,1,0,0.038462,52,3.769231,0.933333,22,0,0.076923,0.307692,1.851181,1.638106,1.3875,0.1875,0.0625,0,0.3125,0.5625
true,0.5,1,10,1,0,2,0,0,5,3,1,3,0,0,0.4,2.166667,1.936533,1.4,0.333333,0.333333,0,0.333333,0.666667
true,0.465517,2,58,18,4,3,0,0.034483,19.333333,4,0.9,6,0.068966,0,0.068966,1.880432,1.616708,1.672,0.16,0.08,0.28,0.44,0.52
true,0.5,1,14,4,0,2,0,0.142857,7,3.285714,1,4,0,0,0,2.082017,1.83935,1.7,0.166667,0,0.166667,0.166667,0.5
true,0.5,0,8,0,0,1,0,0.25,8,3.5,1,4,0,0.5,0,1.6875,1.45835,1.7,0,0,0,0.5,0.5
true,0.5,0,18,2,0,1,0.111111,0,18,4.888889,1,2,0,0,0.222222,0,0,0,0,0,0,0,0
true,0.473684,2.5,38,7,4,4,0.052632,0.105263,9.5,3.947368,0.909091,4,0,0,0.105263,1.919662,1.935562,1.4,0.230769,0.153846,0,0.076923,0.615385
true,0.5,2,8,0,2,4,0,0.25,2,4.25,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.423077,1,26,6,6,4,0,0,6.5,3.384615,0.888889,2,0,0,0,1.886067,1.569756,1.222222,0.111111,0,0.111111,0.555556,0.888889
true,0.5,0,8,2,0,1,0,0,8,7.25,1,2,?,0,0,0,0,0,0,0,0,0,0
true,0.5,1,26,4,0,2,0,0.076923,13,4.538462,1,4,0,0,0.153846,1.81388,2.01944,1.28,0.2,0.4,0,0.2,0.6
true,0.5,1.25,32,4,4,8,0.0625,0.0625,4,3.375,1,1.25,0.0625,0,0.125,2.031636,1.629836,1.545455,0.363636,0,0.181818,0.363636,0.545455
true,0.5,1,2,0,0,2,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,4,2,2,0,1,0,0,2,4,1,0,0,0,0,2.125,1.7273,2,0,0,0,0,0
true,0.472222,3,36,7,4,2,0,0.111111,18,3.388889,1,10,0.117647,0,0.111111,1.774647,1.8311,1.653333,0.133333,0.2,0.2,0.2,0.4
true,0.5,1,12,2,2,2,0,0,6,3,1,2,0,0,0,1.6957,1.5817,1.2,0,0,0,0.25,0.75
true,0.5,0,6,2,0,1,0,0,6,4.666667,1,4,0,0,0,1.722233,1.7197,1.333333,0,0,0,0,0.666667
true,0.5,1,2,2,0,2,0,0,1,4,1,0,0,0,0,2.125,1.7273,2,0,0,0,0,0
true,0.5,0,14,0,4,1,0,0,14,3.571429,1,4,0.142857,0.285714,0,1.799367,1.724233,1.633333,0.166667,0,0,0.166667,0.333333
true,0.5,1,18,1,0,2,0,0.222222,9,3.444444,1,5,0,0,0,1.959478,1.703178,1.555556,0.333333,0.111111,0.222222,0.333333,0.555556
true,0.35,1.666667,60,12,12,6,0.033333,0,10,3.966667,0.681818,2.666667,0,0,0.133333,1.867878,1.800289,1.555556,0.277778,0.111111,0.055556,0.277778,0.5
true,0.447368,2,38,8,4,2,0,0.052632,19,3.473684,1,8,0.111111,0,0.210526,1.850615,1.674262,1.461538,0.076923,0,0,0.384615,0.615385
true,0.403226,1,62,9,18,2,0.096774,0,31,4.387097,0.909091,9,0,0,0,1.954456,1.670148,1.368,0.2,0.04,0,0.24,0.64
true,0.45,1,20,6,2,2,0,0,10,5,1,4,0,0,0,1.9024,1.70774,1.44,0.2,0.1,0,0.3,0.5
true,0.5,2,34,6,0,3,0,0.058824,11.333333,3.588235,1,4.666667,0.117647,0,0,1.925733,1.759947,1.546667,0.2,0.133333,0,0.333333,0.4
true,0.5,0,8,4,0,1,0,0,8,3.25,1,2,0,0,0,2.0986,1.783325,1.3,0.5,0,0,0.25,0.5
true,0.5,1,10,0,2,2,0,0,5,3.4,1,1,0,0,0.4,0,0,0,0,0,0,0,0
true,0.425926,2,54,6,12,2,0,0.074074,27,3.888889,0.944444,9,0.076923,0.148148,0,1.734405,1.809505,1.290909,0.045455,0.090909,0.045455,0.227273,0.681818
true,0.388889,1,18,2,1,4,0,0.111111,4.5,3.777778,0.8,2,0.222222,0,0,1.820657,1.6878,1.485714,0,0.142857,0.142857,0.428571,0.571429
true,0.5,1.333333,18,3,2,3,0.111111,0.333333,6,3.111111,1,2,0,0,0.222222,1.927917,2.0162,1.6,0.333333,0.5,0,0.166667,0.166667
true,0.5,1,4,0,0,2,0,0,2,5,1,0,0.5,0,0,2.8333,3,2.2,1,1,0,0,0
true,0.5,1,2,0,0,2,0,0,1,6,1,0,0,0,0,2.4286,2,1.2,1,0,0,0,1
true,0.406977,1,86,23,8,8,0.046512,0.046512,10.75,4.232558,0.92,4.5,0.093023,0,0.186047,1.767894,1.765913,1.393548,0.129032,0.225806,0.032258,0.290323,0.612903
true,0.5,0,2,0,0,1,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,4,10,2,0,1,0.2,0,10,3.8,1,2,?,0,0,0,0,0,0,0,0,0,0
true,0.5,0,2,0,2,1,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.366667,1.5,30,3,0,4,0,0.133333,7.5,3.866667,1,4.5,0,0,0.133333,1.969583,1.56955,1.133333,0.25,0,0,0.583333,0.75
true,0.472222,2,36,8,6,2,0.055556,0.111111,18,3.944444,1,7,0.166667,0,0.111111,1.8896,1.761267,1.616667,0.166667,0.166667,0.25,0.333333,0.5
true,0.5,2,26,4,4,5,0,0,5.2,3.076923,1,2.4,0.076923,0,0.153846,1.800267,1.656856,1.4,0.222222,0,0.111111,0.222222,0.555556
true,0.5,1.2,12,0,2,5,0,0,2.4,4.166667,1,0.4,0,0.333333,0,2,1.8333,2,0,0,0,0,0
true,0.444444,1,18,7,2,6,0.111111,0.111111,3,3.333333,1,1.666667,0,0,0,2.122217,1.7198,1.3,0.333333,0.166667,0,0.5,0.5
true,0.5,1,6,2,0,2,0.333333,0,3,5,1,1,0,0,0,2.3077,2.3077,3,1,1,1,0,0
true,0.5,3.333333,16,2,2,3,0,0.125,5.333333,3.875,1,2,0.25,0,0,1.8821,1.518483,1.466667,0,0,0,0.5,0.5
true,0.5,6.666667,28,4,0,3,0,0,9.333333,4.642857,1,2,0.214286,0,0.142857,1.8051,1.826486,1.742857,0,0,0.142857,0.285714,0.285714
true,0.5,1,2,0,1,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.432432,1.142857,74,20,2,7,0,0.027027,10.571429,3.459459,0.909091,4.285714,0.151515,0,0.162162,1.781958,1.706047,1.305263,0.105263,0.210526,0,0.368421,0.578947
true,0.5,0,4,0,0,1,0,0,4,4.5,1,0,0,0,0,2.4286,2,1.2,1,0,0,0,1
true,0.5,1,14,4,2,4,0,0.285714,3.5,4.714286,1,1.5,0,0,0,1.84602,1.81112,1.4,0.4,0,0,0,0.4
true,0.5,1,20,2,5,4,0,0.2,5,4,1,1.5,0,0,0.2,1.783225,1.757387,1.85,0.125,0.125,0.25,0.375,0.25
true,0.375,1.6,64,10,6,5,0.03125,0.09375,12.8,4.53125,0.842105,5.2,0.03125,0.0625,0,1.850925,1.758938,1.541667,0.166667,0.166667,0,0.291667,0.458333
true,0.5,1,6,2,0,2,0,0,3,5,1,1,0,0,0,1.75,1.3333,1,0,0,0,1,1
true,0.444444,4,36,6,2,1,0,0.111111,36,3.777778,1,22,0,0.333333,0,1.744176,1.523594,1.529412,0,0,0.176471,0.352941,0.647059
true,0.5,0,6,0,0,1,0,0.333333,6,3.333333,1,4,0.333333,0,0,2.20715,1.66665,1,0.5,0,0,0.5,1
true,0.5,1,2,0,2,2,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.46875,1.333333,32,4,0,3,0,0,10.666667,3.8125,1,5.333333,0,0.125,0,1.753173,1.646536,1.418182,0,0.090909,0.090909,0.363636,0.636364
true,0.5,1,2,0,0,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,2,6,0,2,1,0,0,6,4,1,0,0,0,0,2.43335,2.14285,1.8,0.5,0.5,0,0,0
true,0.5,1,2,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,14,0,0,4,0,0,3.5,4.285714,1,0,0.571429,0,0,1.7,1.8,2,0,0,0,0.5,0
true,0.5,1,2,0,0,2,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,0,26,8,2,1,0,0.153846,26,3.615385,1,12,0,0,0,1.806382,1.712964,1.4,0.181818,0,0,0.181818,0.454545
true,0.47619,1.6,42,6,4,5,0,0.095238,8.4,4.095238,1,4,0.142857,0.285714,0.095238,1.772813,1.57164,1.493333,0.133333,0.066667,0.066667,0.333333,0.333333
true,0.372093,1.75,86,20,16,8,0.046512,0.069767,10.75,3.581395,1,5.5,0,0.186047,0.093023,1.931818,1.710624,1.264706,0.147059,0.088235,0,0.294118,0.764706
true,0.461538,12,26,6,1,1,0,0.076923,26,3.769231,0.875,10,0.153846,0,0.153846,1.7714,1.730712,1.375,0,0.125,0,0.375,0.5
true,0.5,2,4,0,0,3,0.5,0,1.333333,4.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0
true,0.5,0,2,0,0,1,0,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,0,2,0,2,1,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,16,3,0,4,0.125,0,4,4,1,1,0,0,0.25,2.478575,2.242425,1.9,0.5,0.5,0,0,0
true,0.5,1,2,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,4,12,0,4,1,0,0,12,3.666667,1,4,0.166667,0,0,1.746033,1.3504,1.333333,0,0,0,1,0.666667
true,0.5,2,20,1,3,1,0,0,20,3.6,1,8,0,0,0,1.856529,1.537629,1.171429,0.285714,0,0,0.571429,0.571429
true,0.5,0,6,2,0,1,0.333333,0,6,3.666667,1,4,0,0.666667,0,2.117067,1.5119,1.2,0.333333,0,0,0.333333,0.666667
true,0.354839,1.666667,62,18,14,6,0,0.290323,10.333333,4.064516,0.714286,3.333333,0,0.258065,0.064516,1.998911,1.714764,1.585714,0.214286,0.107143,0.035714,0.107143,0.428571
true,0.5,2,6,2,0,1,0,0,6,5,1,2,0,0,0,1.5,1.5,1,0,0,0,0,1
true,0.5,1,4,0,2,2,0.5,0,2,5,1,0,0,0,0,2.3333,1.8333,2.8,1,0,1,0,0
true,0.5,1,2,0,0,2,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.458333,6.666667,48,7,4,3,0,0.083333,16,4,0.947368,3.333333,0.217391,0,0,1.854675,1.715083,1.266667,0.083333,0,0,0.333333,0.583333
true,0.5,1,12,4,2,2,0,0,6,4.5,1,1,0,0.333333,0,2.2143,2.166667,1.266667,0.333333,0.666667,0,0,0.666667
true,0.5,1,2,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,12,2,0,2,0,0,6,3.166667,1,3,0.166667,0,0,1.88172,1.56364,1.16,0.2,0,0,0.4,0.8
true,0.482759,2.181818,58,16,10,11,0.103448,0.068966,5.272727,3.827586,1,1.636364,0.071429,0.068966,0.137931,1.871341,1.687312,1.4,0.235294,0.117647,0.117647,0.235294,0.705882
true,0.5,2,20,4,4,4,0.2,0,5,3.1,1,0.5,0.111111,0,0,2.128814,1.817571,1.657143,0.428571,0,0.285714,0.142857,0.428571
true,0.478261,1,46,15,9,2,0,0.086957,23,3.695652,1,10,0,0.086957,0,1.852057,1.641714,1.485714,0.095238,0.047619,0,0.428571,0.47619
true,0.5,2,2,2,0,3,0,0,0.666667,4,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.441176,2.5,34,4,4,4,0.117647,0.058824,8.5,4,0.923077,2,0.1875,0.235294,0,1.88625,1.489217,1.466667,0,0,0,0.5,0.5
true,0.5,4,28,8,6,1,0,0.142857,28,3.928571,1,10,0,0,0,1.714245,1.742009,1.236364,0.181818,0.181818,0,0.272727,0.727273
true,0.5,4,2,0,0,1,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,6,0,4,2,0,0,3,4.333333,1,0,0,0,0,2.33975,1.7077,1.8,0.5,0,0.5,0,0.5
true,0.5,18,24,3,0,1,0,0,24,4.25,1,8,0.25,0,0.166667,1.74364,1.63246,1.24,0,0,0,0.6,0.8
true,0.5,1,18,2,2,2,0,0,9,5.111111,1,3,0,0,0,1.9,2.01914,1.64,0,0.2,0,0.2,0.2
true,0.466667,0,30,9,4,1,0.066667,0.066667,30,3.8,0.9,10,0.266667,0,0,2.113522,1.938378,1.444444,0.333333,0.222222,0.111111,0.111111,0.555556
true,0.423077,1.555556,78,14,12,9,0,0.128205,8.666667,3.564103,0.952381,4,0,0.25641,0,1.9689,1.619747,1.323529,0.176471,0.058824,0.058824,0.294118,0.617647
true,0.5,0,16,4,0,1,0,0.25,16,4.5,1,4,0.125,0,0,1.546417,1.862883,1.766667,0,0.333333,0,0.333333,0.333333
true,0.5,2,4,0,0,1,0,0,4,2.5,1,2,0.5,0,0,1.7,1.3333,1,0,0,0,1,1
true,0.4,0,10,2,6,1,0.4,0,10,4.4,0.75,2,0,0,0,1.7963,1.362167,1,0,0,0,0.666667,1
true,0.5,2,4,2,0,1,0,0,4,2.5,1,0,0,0,0,2.125,1.7273,2,0,0,0,0,0
true,0.5,0,2,0,0,1,0,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,1.666667,8,0,4,6,0,0,1.333333,3.5,1,0.666667,0,0,0,2.5,2.1667,1.4,1,0,0,0,0
true,0.5,1,2,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.423077,1,26,6,3,2,0,0.153846,13,3.076923,0.833333,7,0,0.153846,0.153846,1.883855,1.6304,1.309091,0.090909,0,0,0.272727,0.727273
true,0.42,1,50,10,6,12,0.04,0.12,4.166667,5.56,0.85,0.833333,0,0,0.16,1.875,1.490375,1.6,0,0,0.25,0.5,0.5
true,0.5,1.6,20,2,4,5,0.1,0,4,4.4,1,1.6,0.2,0,0,1.722713,1.647888,1.6,0.125,0.125,0.125,0.375,0.375
true,0.447368,1,38,8,8,2,0,0.105263,19,3.210526,0.833333,7,0,0,0,2.006378,1.573628,1.233333,0.222222,0.055556,0,0.388889,0.666667
true,0.5,1,14,4,4,4,0.285714,0,3.5,4,1,1.5,0,0.285714,0,1.779475,1.5759,1.85,0,0,0.25,0.5,0.5
true,0.5,2.4,22,4,6,5,0.090909,0,4.4,3.454545,1,0.8,0.090909,0,0,2.111111,1.847656,1.288889,0.333333,0.222222,0,0.333333,0.555556
true,0.5,2.5,18,4,4,4,0,0,4.5,4.555556,1,1.5,0.111111,0.222222,0,1.856883,1.519183,1.333333,0.166667,0,0,0.5,0.666667
true,0.5,1,14,2,2,2,0,0,7,4.428571,1,5,0,0,0.285714,1.705,1.57614,1.12,0,0,0,0.6,0.8
true,0.5,4,6,0,0,1,0,0,6,4,1,2,0.333333,0,0,1.7875,1.5952,1.4,0,0,0,0.5,0.5
true,0.5,0,6,0,4,1,0.333333,0,6,3.333333,1,2,0,0,0,1.2857,2.1111,2.2,0,0,0,0,0
true,0.47619,1,42,8,10,4,0.047619,0.095238,10.5,4.47619,1,4.5,0.047619,0.190476,0,1.905612,1.640041,1.352941,0.176471,0.117647,0.058824,0.294118,0.647059
true,0.5,0,8,0,6,1,0,0,8,4,1,0,0.25,0,0,1.95455,1.6717,1,0,0,0,0.5,1
true,0.411765,1.684211,102,20,11,19,0.019608,0.098039,5.368421,3.686275,0.9,2.210526,0.173913,0.039216,0.117647,1.885657,1.783591,1.474286,0.2,0.171429,0.142857,0.2,0.571429
true,0.5,1,2,0,0,2,0,0,1,12,1,0,?,0,0,0,0,0,0,0,0,0,0
true,0.5,2,12,4,0,1,0,0,12,4.5,1,2,0.4,0,0,2.1111,1.53535,1.3,0.5,0,0,0.5,0.5
true,0.5,0,10,4,2,1,0,0,10,4.4,1,2,?,0,0,0,0,0,0,0,0,0,0
true,0.388889,1,36,8,2,8,0,0,4.5,3.833333,0.875,2.5,0,0.333333,0,1.937375,1.61665,1.2,0.0625,0.0625,0,0.375,0.8125
true,0.5,0.666667,6,2,0,3,0.333333,0,2,3,1,0.666667,0,0.666667,0,2.1429,1.5,1.2,0,0,0,0,1
true,0.5,1.6,12,2,2,5,0,0.333333,2.4,3.5,1,1.2,0,0,0.333333,1.483025,1.91965,1.2,0,0.5,0,0.25,0.75
true,0.444444,2,18,5,2,5,0.222222,0.111111,3.6,3,1,1.6,0.125,0.444444,0.222222,2.40716,1.78888,1.44,0.6,0.2,0,0.2,0.6
true,0.5,6,36,5,0,3,0.055556,0.111111,12,4.055556,1,4.666667,0.166667,0,0.111111,1.6646,1.62913,1.28,0,0.1,0,0.4,0.7
true,0.5,0,24,3,9,1,0,0.083333,24,3.25,1,8,0.083333,0,0,1.778645,1.496164,1.472727,0,0,0.181818,0.545455,0.727273
true,0.5,1,22,6,0,2,0,0.181818,11,4.636364,1,6,0,0,0,1.62255,1.616667,1.5,0,0.166667,0,0.333333,0.333333
true,0.5,1,18,2,0,4,0,0.111111,4.5,4.777778,1,1.5,0.111111,0,0.222222,1.7233,1.8649,1.714286,0,0.142857,0.285714,0.142857,0.428571
true,0.5,1,18,4,2,4,0,0,4.5,3.777778,1,1.5,0.111111,0,0.222222,1.83335,1.55795,1.35,0,0,0,0.5,0.75
true,0.428571,1,14,4,0,4,0.142857,0,3.5,3.571429,1,1.5,0,0,0,2.14666,1.80418,1.24,0.4,0.4,0,0.6,0.6
true,0.5,2.5,10,2,2,4,0,0,2.5,4,1,0.5,0,0,0,2.25334,1.7847,1.88,0.4,0.2,0.4,0.2,0.4
true,0.5,4,4,0,0,1,0,0,4,5,1,0,0,0,0,2.6143,1.85715,2,1,0,0.5,0,0.5
true,0.480769,1.333333,52,8,3,3,0,0.038462,17.333333,3.423077,0.944444,5.333333,0.2,0.076923,0,1.9928,1.754417,1.366667,0.166667,0.166667,0.166667,0.333333,0.833333
true,0.5,1,8,2,0,4,0,0,2,4.75,1,1,0,0.5,0.5,2.3482,2.1313,1.9,0.5,0.5,0.5,0,0.5
true,0.5,3,10,2,2,2,0.2,0,5,3,1,1,0.2,0,0,1.8889,1.1818,1,0,0,0,1,1
true,0.5,0.666667,24,6,2,3,0,0.083333,8,4.916667,1,2,0.142857,0,0,1.91454,1.6375,1.32,0,0,0,0.4,0.6
true,0.5,4,6,2,0,2,0,0,3,3.666667,1,2,0,0.666667,0,1.875,1.6212,1.3,0,0,0,0.5,0.5
true,0.430556,1,72,10,2,8,0,0.055556,9,3.027778,0.941176,4.75,0.055556,0,0.222222,1.888239,1.641793,1.371429,0.178571,0,0.071429,0.285714,0.678571
true,0.5,1.5,20,6,0,4,0.1,0,5,4.1,1,1.5,0,0,0,1.938843,1.621686,1.685714,0.142857,0.142857,0.285714,0.428571,0.428571
true,0.5,2,4,0,2,1,0.5,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,12,4,0,2,0,0,6,3.833333,1,2,0,0,0,2.090025,1.64395,1.3,0.25,0.25,0,0.5,0.75
true,0.5,1,14,2,2,2,0.142857,0,7,3.714286,1,3,0.142857,0,0,2.01112,1.72302,1.12,0.2,0,0,0.2,1
true,0.5,0,2,0,0,1,0,0,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0
true,0.5,1,4,0,2,2,0,0,2,6,1,1,0,0,0,2,1.2,1,0,0,0,1,1
true,0.5,0,12,2,2,1,0,0,12,2.666667,1,6,0,0,0.333333,1.86728,1.64586,1.48,0,0,0,0.4,0.6
true,0.466667,3,30,3,4,2,0,0.2,15,3.666667,1,7,0.133333,0.133333,0,1.696042,1.631642,1.7,0,0.083333,0.25,0.25,0.5
true,0.5,1.2,62,12,12,5,0,0.032258,12.4,3.774194,1,4.8,0.193548,0.064516,0.064516,1.769845,1.561775,1.43,0.1,0,0,0.45,0.5
true,0.5,0,20,2,2,1,0,0,20,3,1,10,0,0.2,0,1.94929,1.65576,1.46,0.1,0,0,0.3,0.5
true,0.5,0,8,2,2,1,0,0.25,8,3.75,1,0,0,0,0,1.5582,1.703467,1.066667,0,0.333333,0,0.333333,1
true,0.5,1,28,7,0,6,0,0.071429,4.666667,4.428571,1,2,0,0,0.142857,1.949573,1.563518,1.472727,0.181818,0.090909,0.090909,0.545455,0.636364
true,0.45,0,40,7,6,1,0,0,40,3.3,0.928571,12,0.157895,0,0,1.776877,1.727523,1.723077,0.076923,0.076923,0.153846,0.307692,0.307692
true,0.5,1,20,4,8,4,0,0.1,5,5.8,1,1,0.4,0,0,1.929933,1.684833,1.566667,0.166667,0,0,0.166667,0.5
true,0.5,1,24,4,6,6,0.166667,0.083333,4,4.333333,1,1,0.090909,0,0,2.1041,1.501883,1.433333,0.5,0.166667,0.166667,0.666667,0.666667
